date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-05-20,sh.000001,2874.8010,2882.6290,2838.4530,2870.6040,2882.2960,20947244288,199210774528.0000,3,0.617197,1,-0.405600,0.000000,0.000000,0.000000,0.000000,0
2019-05-21,sh.000001,2867.7060,2919.2370,2862.4950,2905.9680,2870.6040,21138702336,202777776128.0000,3,0.622787,1,1.231900,0.000000,0.000000,0.000000,0.000000,0
2019-05-22,sh.000001,2905.5240,2912.3950,2879.6430,2891.7040,2905.9680,20002690560,193629368320.0000,3,0.589291,1,-0.490800,0.000000,0.000000,0.000000,0.000000,0
2019-05-23,sh.000001,2880.8420,2885.1380,2846.9560,2852.5150,2891.7040,19734030848,192869486592.0000,3,0.581331,1,-1.355200,0.000000,0.000000,0.000000,0.000000,0
2019-05-24,sh.000001,2847.8350,2871.8550,2846.0210,2852.9940,2852.5150,16720549120,162689314816.0000,3,0.492521,1,0.016800,0.000000,0.000000,0.000000,0.000000,0
2019-05-27,sh.000001,2851.2800,2898.1290,2833.0360,2892.3780,2852.9940,19672090112,193768714240.0000,3,0.579302,1,1.380400,0.000000,0.000000,0.000000,0.000000,0
2019-05-28,sh.000001,2890.2650,2924.0390,2887.0830,2909.9100,2892.3780,22331055616,227253813248.0000,3,0.657711,1,0.606100,0.000000,0.000000,0.000000,0.000000,0
2019-05-29,sh.000001,2894.8290,2934.9760,2890.6640,2914.6960,2909.9100,19895881984,202855038976.0000,3,0.585898,1,0.164500,0.000000,0.000000,0.000000,0.000000,0
2019-05-30,sh.000001,2903.4240,2907.8460,2881.3800,2905.8050,2914.6960,20575878912,197105557504.0000,3,0.605923,1,-0.305000,0.000000,0.000000,0.000000,0.000000,0
2019-05-31,sh.000001,2904.4970,2922.9070,2895.5770,2898.6960,2905.8050,19523057920,191280402432.0000,3,0.574483,1,-0.244600,0.000000,0.000000,0.000000,0.000000,0
